SetID,Number,Variant,Theme,SubTheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,Image,ImageFilename,InstructionsAvailable,EAN,UPC
9531,"bb173","2","Gear","Storage","1972","Holdall Storage Bag",,,,,,"False","","",""
9530,"bb173","3","Gear","Storage","1971","Holdall Storage Bag",,,,,,"False","","",""
9585,"Beachwood","1","Promotional","LEGO Store Grand Opening Set","2011","Beachwood Place, Beachwood, Exclusive Minifigure Pack",3,15,,0,,"False","","",""
8160,"Berlin","1","Promotional","LEGO Store Grand Opening Set","2009","{Bear}",,69,,,,"True","Berlin-1","",""
9536,"biocom01sp1","1","Promotional","Book / Comic","2003","Bionicle # 1 Six Heroes One Destiny (SDCC Edition)",,,,0,,"False","","",""
8174,"Birmingham","1","Promotional","LEGO Store Grand Opening Set","2009","{Vulcan}",,81,,,,"True","Birmingham-1","",""
8437,"BobaFett1","1","Star Wars","Miscellaneous","2010","White Boba Fett minifig and Star Wars book",,5,,,,"True","BobaFett1-1","",""
8176,"Braintree","1","Promotional","LEGO Store Grand Opening Set","2008","{Baseball Player}",,58,,,,"True","Braintree-1","",""
6603,"C001","1","Gear","Watches/Clocks","2008","LEGO Star Wars Clock",,,19.99,29.99,39.99,"True","c001-1","",""
4595,"C2614","1","Gear","Watches/Clocks","2003","Basketball Clock",,,,,,"True","C2614-1","",""
8162,"Calgary","1","Promotional","LEGO Store Grand Opening Set","2010","{Bucking Bronco}",,130,,,,"True","Calgary-1","",""
5481,"CDB25","1","Gear","CD/DVDs","2005",""From the LEGO Vaults" CD-Rom",,,,,,"True","CDB25-1","",""
5505,"CDB26","1","Gear","CD/DVDs","2006","'From the LEGO Vaults' CD-Rom, Volume 2",,,,19.99,,"True","cdb26-1","",""
8100,"celebv","1","Promotional","Cube Dudes","2010","Fan Celebration V - CubeDude - The Bounty Hunter Edition",,496,,75,,"True","celebv-1","",""
8161,"Chandler","1","Promotional","LEGO Store Grand Opening Set","2008","{Cactus}",,58,,0,,"True","Chandler-1","",""
8184,"Cincinnati","1","Promotional","LEGO Store Grand Opening Set","2009","{Flying Pig}",,93,,0,,"True","Cincinnati-1","",""
9603,"CityDVD","1","Gear","CD/DVDs","2012","LEGO City: Mini Movie Collection DVD",,,0,,,"False","","",""
8165,"Columbus","1","Promotional","LEGO Store Grand Opening Set","2009","{Salamander}",,72,,0,,"True","Columbus-1","",""
9337,"comcon001","1","Star Wars","Product Collection","2008","Clone Wars (SDCC 2008 exclusive)",5,351,,75.99,,"False","","",""
9334,"comcon002","1","Indiana Jones","Kingdom of the Crystal Skull","2008","BrickMaster (SDCC 2008 exclusive)",2,83,,49.99,,"False","","",""
9339,"comcon003","1","Batman","","2008","Batman And Joker (SDCC 2008 exclusive)",2,9,,,,"False","","",""
8656,"comcon004","1","Star Wars","Miscellaneous","2009","Collectable Display Set 1",3,5,,49.99,,"False","","",""
8655,"comcon005","1","Star Wars","Miscellaneous","2009","Collectable Display Set 2",2,2,,49.99,,"False","","",""
8657,"comcon006","1","Star Wars","Miscellaneous","2009","Collectable Display Set 4",3,15,,49.99,,"False","","",""
8658,"comcon007","1","Star Wars","Miscellaneous","2009","Collectable Display Set 5",3,4,,49.99,,"False","","",""
8659,"comcon008","1","Star Wars","Miscellaneous","2009","Collectable Display Set 3",3,5,,49.99,,"False","","",""
8660,"comcon009","1","Star Wars","Miscellaneous","2009","Collectable Display Set 6",3,5,,49.99,,"True","comcon009-1","",""
9348,"comcon010","1","Star Wars","Mini Building Set","2009","Mini Republic Dropship Mini AT-TE Brickmaster Pack (SDCC 2009 exclusive)",,94,,50,,"False","","",""
9349,"comcon011","1","Star Wars","Miscellaneous","2009","Holo-Brick Archives (SDCC 2009 exclusive)",,3,,,,"False","","",""
8099,"comcon012","1","Promotional","Cube Dudes","2010","San Diego Comic Con 2010 Exclusive - CubeDude - The Clone Wars Edition",,416,,75,,"True","sdcc2010-1","",""
9325,"comcon013","1","Super Heroes","DC Universe","2011","Green Lantern (SDCC 2011 exclusive)",1,5,,,,"True","comcon013-1","",""
9351,"comcon014","1","Super Heroes","DC Universe","2011","Batman (SDCC 2011 exclusive)",1,6,,,,"True","comcon014-1","",""
9352,"comcon015","1","Star Wars","Seasonal","2011","Advent calendar (SDCC 2011 exclusive)",,266,,50,,"True","comcon015-1","",""
9353,"comcon016","1","Super Heroes","DC Universe","2011","Green Lantern (NYCC 2011 exclusive)",1,6,,,,"True","comcon016-1","",""
9326,"comcon017","1","Super Heroes","DC Universe","2011","Superman (NYCC 2011 exclusive)",1,6,,,,"True","comcon017-1","",""
9324,"comcon018","1","Super Heroes","DC Universe","2011","Batman (NYCC 2011 exclusive)",1,6,,,,"True","comcon018-1","",""
9775,"comcon019","1","Super Heroes","DC Universe","2012","Bizarro (SDCC 2012 exclusive)",,4,,,,"True","comcon019-1","",""
9776,"comcon019","2","Star Wars","Promotional","2012","Sith Infiltrator (SDCC 2012 exclusive)",,84,,40,,"False","","",""
9772,"Comcon020","1","Super Heroes","Marvel Universe","2012","Phoenix (SDCC 2012 exclusive)",,,,,,"True","Comcon020-1","",""
9773,"Comcon021","1","Super Heroes","DC Universe","2012","Shazam (SDCC 2012 exclusive)",1,,,,,"True","Comcon021-1","",""
9774,"comcon022","1","Super Heroes","Marvel Universe","2012","Venom (SDCC 2012 exclusive)",1,,,,,"True","comcon022-1","",""
8163,"Concord","1","Promotional","LEGO Store Grand Opening Set","2009","{Nascar}",,70,,0,,"True","Concord-1","",""
9591,"CostaMesa","1","Promotional","LEGO Store Grand Opening Set","2012","South Coast Plaza, Costa Mesa, Exclusive Minifigure Pack",3,15,,0,,"False","","",""
8170,"Dallas","1","Promotional","LEGO Store Grand Opening Set","2009","{Skull}",,92,,0,,"True","Dallas-1","",""
9335,"DC-1","1","Batman","","2005","Commemorative Limited Edition Batman Announcement ",,13,,,,"False","","",""
7926,"DKAtlantis","1","Gear","Books/Dorling Kindersley","2010","Brickmaster Atlantis",2,,,,,"True","DKAtlantis-1","",""
7222,"DKCastle","1","Gear","Books/Dorling Kindersley","2009","Brickmaster Castle",2,,,,,"True","dkcastle-1","",""
7349,"DKCity","1","Gear","Books/Dorling Kindersley","2011","Brickmaster City",2,,,,,"True","DKCity-1","",""
9765,"DKHPCMW","1","Gear","Books/Dorling Kindersley","2012","Harry Potter Characters of the Magical World",,,14.99,,,"False","","",""
9626,"DKHPMagical","1","Gear","Books/Dorling Kindersley","2011","Harry Potter Magical Adventures Ultimate Sticker Book",,,4.99,,,"False","","",""
9025,"DKIdeasBook","1","Gear","Books/Dorling Kindersley","2011","The LEGO Ideas Book",,,16.99,,,"True","DKIdeasBook-1","",""
7293,"DKLegoBook","1","Gear","Books/Dorling Kindersley","2009","The LEGO Book",,,25,,,"True","DKLegoBook","9780756656232",""
8830,"DKNinjago","1","Gear","Books/Dorling Kindersley","2011","Brickmaster Ninjago",2,,,,,"True","dkninjago-1","",""
7223,"DKPirates","1","Gear","Books/Dorling Kindersley","2009","Brickmaster Pirates",2,,,,,"True","dkpirates-1","",""
8102,"DKSS","1","Gear","Books/Dorling Kindersley","2009","Standing Small",,,,,,"True","DKStandingSmall-1","",""
7740,"DKSticker","1","Gear","Books/Dorling Kindersley","2010","DK Minifigure Ultimate Sticker Collection",,,,,,"True","DKMinifigSticker","",""
9760,"DKSWESSEN","1","Gear","Books/Dorling Kindersley","2011","LEGO Star Wars: The Essential Book Collection",,,12.99,,,"False","","",""
9606,"DKSWHeroes","1","Gear","Books/Dorling Kindersley","2011","Star Wars Heroes Ultimate Sticker Book ",,,4.99,,,"False","","",""
9609,"DKSWVillains","1","Gear","Books/Dorling Kindersley","2011","Star Wars Villains Ultimate Sticker Book ",,,4.99,,,"False","","",""
7738,"Duck75","1","Promotional","LEGO Store Event","2007","75th Anniversary LEGO Duck on Wheels",,44,0,0,,"True","Duck75-1","",""
9599,"DVD246","1","Gear","CD/DVDs","2006","Bionicle 3: Web Of Shadows DVD",,,,,,"False","","",""
9597,"DVD503","1","Gear","CD/DVDs","2003","Bionicle: Mask Of Light DVD",,,15.99,,,"False","","",""
9598,"DVD803","1","Gear","CD/DVDs","2004","Bionicle 2: Legends Of Metru Nui DVD",,,,,,"False","","",""
5627,"EL136","1","Gear","Miscellaneous","2006","DINO ATTACK Minifigure Parachute",,,,,,"True","el136-1","",""
5629,"EL150","1","Gear","Miscellaneous","2006","DINO ATTACK Sand Mould Set",,,,,,"True","el150-1","",""
5626,"EL151","1","Gear","Miscellaneous","2006","DINO ATTACK Chalk Eggs",,,,,,"True","el151-1","",""
5631,"EL416","1","Gear","Stationery","2006","DUPLO Princesses Coloring Pack",,,,,,"True","el416-1","",""
5632,"EL429","1","Gear","Housewares","2006","LEGO Chef Apron",,,,,,"True","el429-1","",""
5551,"EL502","1","Gear","Housewares","2006","Ice Cube Tray",,,,7.99,,"True","el502-1","",""
5625,"EL557","1","Gear","Stationery","2006","Belville Princesses Stationary Set",,,,4.99,,"True","el557-1","",""
5549,"EL571","1","Gear","Housewares","2006","Coaster Set",,,7.49,12.99,,"True","EL571-1","",""
5628,"EL612","1","Gear","Stationery","2006","DINO ATTACK Pencil Set",,,,,,"True","el612-1","",""
5600,"EL709","1","Gear","Storage","2006","Store & Carry Case",,,,14.99,,"True","el709-1","",""
5547,"EL715","1","Gear","Housewares","2006","Corkscrew & Bottle Opener",,,,15,,"True","EL715-1","",""
5721,"EL771","1","Gear","Role-play toys","2006","City Firefighter Water Blaster",,,,,,"True","el771-1","",""
5479,"EL792","1","Gear","Housewares","2006","Salt and Pepper Shaker Set",,,,4.99,,"True","EL792-1","",""
5633,"EL895","1","Gear","Role-play toys","2006","Sword of Lord Vladek",,,,,,"True","el895-1","",""
5964,"EL913","1","Gear","Housewares","2007","Classic Calculator",,,,4.99,,"True","el913-1","",""
5630,"EL986","1","Gear","Stationery","2006","DUPLO Castle Coloring Pack",,,,,,"True","el986-1","",""
9739,"Elizabeth","1","Promotional","LEGO Store Grand Opening Set","2012","Elizabeth, NJ, Exclusive Minifigure Pack",,15,,0,,"True","Elizabeth-1","",""
8173,"Elmhurst","1","Promotional","LEGO Store Grand Opening Set","2010","{Subway Car}",,95,,,,"True","Elmhurst-1","",""
5506,"F6316","1","Bulk Bricks","","2006","Flags and Posts",,100,,,,"True","f6316-1","",""
8169,"Frankfurt","1","Promotional","LEGO Store Grand Opening Set","2009","{The R̦mer}",,157,,,,"True","Frankfurt-1","",""
8177,"Frisco","1","Promotional","LEGO Store Grand Opening Set","2009","{Bronco}",,60,,,,"True","Frisco-1","",""
5542,"G1752","1","Gear","Board Games","2006","LEGO Dominos Game",,,,12.99,,"True","g1752-1","",""
5524,"G1753","1","Gear","Board Games","2006","LEGO Checkers",,,,12.99,,"True","g1753-1","",""
5837,"G1754","1","Gear","Board Games","2006","BIONICLE The Quest Game",,,,14.99,,"True","G1754-1","",""
5543,"G572","1","Gear","Board Games","2006","LEGO Ludo",16,,,39.99,,"True","g572-1","",""
5544,"G574","1","Gear","Board Games","2006","LEGO Tic-Tac-Toe",10,,,19.99,,"True","g574-1","",""
5525,"G577","1","Gear","Board Games","2006","Vikings Chess Set",24,,29.99,,,"True","g577-1","",""
4998,"G678","1","Gear","Board Games","2005","Knights' Kingdom Chess Set",24,,29.99,,,"True","G678-1","",""
8175,"GardenCity","1","Promotional","LEGO Store Grand Opening Set","2010","{Spirit of St Louis}",,88,,,,"True","GardenCity-1","",""
8183,"Gator","1","Promotional","LEGO Brand Store model","2006","{Boford P. Alligator}",,,,,,"True","Gator-1","",""
5814,"GBA275","1","Gear","Video Games/Game Boy Advance","2006","BIONICLE Heroes",,,,29.99,,"True","GBA275-1","",""
4812,"GBA381","1","Gear","Video Games/Game Boy Advance","2005","LEGO Star Wars: The Video Game",,,,,,"True","gba381-1","",""
4596,"GBA684","1","Gear","Video Games/Game Boy Advance","2004","LEGO Knights' Kingdom",,,,,,"True","GBA684-1","",""
6946,"GBA685","1","Gear","Video Games/Game Boy Advance","2005","BIONICLE: Maze of Shadows",,,,,,"False","","",""
5527,"GBA960","1","Gear","Video Games/Game Boy Advance","2006","LEGO Star Wars II: The Original Trilogy",,,,19.99,,"True","GBA960-1","",""
5815,"GC190","1","Gear","Video Games/Nintendo Gamecube","2006","BIONICLE Heroes",,,,29.99,,"True","GC190-1","",""
6383,"GC383","1","Gear","Video Games/Nintendo Gamecube","2005","LEGO Star Wars: The Video Game",,,,,,"False","","",""
5599,"GC958","1","Gear","Video Games/Nintendo Gamecube","2006","LEGO Star Wars II: The Original Trilogy",,,,39.99,,"True","gc958-1","",""
9448,"gen015","1","Promotional","Minifigure","2005","LEGO World Netherlands 2005 'De Bouwsteen' Minifigure",,4,,,,"False","","",""
9450,"gen028","1","Promotional","Minifigure","2009","LEGO Fan Weekend 2009 Minifigure",,4,,,,"False","","",""
9473,"gen034","1","Promotional","Minifigure","2010","LEGO Fan Weekend 2010 Minifigure",,4,,0,,"False","","",""
9452,"gen039","1","Promotional","Minifigure","2010","LEGO KidsFest 2010 Minifigure",,4,0,0,,"False","","",""
9474,"gen040","1","Promotional","Minifigure","2011","LEGO Fan Weekend 2011 Minifigure",,4,,0,,"False","","",""
9449,"gen041","1","Promotional","Minifigure","2008","LEGO World Netherlands 2008 'De Bouwsteen' Minifigure ",,8,,,,"False","","",""
9461,"GGSW001","1","Gear","Miscellaneous","2007","Blackhole Stormtrooper Maquette (Gentle Giant)",,,,64.99,,"False","","",""
9462,"GGSW002","1","Gear","Miscellaneous","2007","Darth Vader Maquette (Gentle Giant)",,,,64.99,,"False","","",""
9463,"GGSW003","1","Gear","Miscellaneous","2007","Stormtrooper Maquette (Gentle Giant)",,,,64.99,,"False","","",""
9464,"GGSW004","1","Gear","Miscellaneous","2007","Boba Fett Maquette (Gentle Giant)",,,,64.99,,"False","","",""
6302,"GGSW005","1","Gear","Miscellaneous","2007","Luke Skywalker Pilot Maquette",,,,19.99,,"True","66254-1","",""
8227,"Glendale","1","Promotional","LEGO Store Grand Opening Set","2010","{Rattlesnake}",,140,,0,,"False","","",""
5634,"GW563","1","Gear","Seasonal","2006","LEGO Holiday Minifigure Gift Wrap & Tags",,,,2.99,,"True","gw563-1","",""
5548,"GW980","1","Gear","Housewares","2006","Classic Gift Wrap",,,,2.99,,"True","gw980-1","",""
6110,"H107","1","Gear","Clothing","2006","Toa Whenua Hat",,,,11.99,,"True","h107-1","",""
8156,"Hanover","1","Promotional","LEGO Store Grand Opening Set","2009","{Crab}",,69,,0,,"True","Hanover-1","",""
9373,"HERCCIT","1","Games","Heroica","2011","Heroica Event Character Cards",,,,,,"False","","",""
9645,"HeroBox","1","Games","Heroica","2012","Limited Edition Box Set",,,,,,"False","","",""
6299,"HEROWII","1","Gear","Video Games/Nintendo Wii","2007","BIONICLE Heroes",,,,,,"True","herowii-1","",""
8154,"Honolulu","1","Promotional","LEGO Store Grand Opening Set","2009","{Fish and Coral}",,85,,,,"True","Honolulu-1","",""
8159,"Houston","1","Promotional","LEGO Store Grand Opening Set","2008","{Space Shuttle}",,65,,0,,"True","Houston-1","",""
8178,"Houston","2","Promotional","LEGO Store Grand Opening Set","2010","{Bull and Rider}",,143,,,,"True","Houston-2","",""
9498,"HPG01","1","Harry Potter","General","2002","Harry Potter Minifigure Collection Gallery 1",4,20,,,,"False","","",""
9499,"HPG02","1","Harry Potter","General","2002","Harry Potter Minifigure Collection Gallery 2",4,17,,,,"False","","",""
9500,"HPG03","1","Harry Potter","General","2002","Harry Potter Minifigure Collection Gallery 3",4,23,,,,"False","","",""
9501,"HPG04","1","Harry Potter","General","2002","Harry Potter Minifigure Collection Gallery 4",5,23,,,,"False","","",""
9510,"HPSDCC1","1","Harry Potter","General","2011","Harry Potter Minifigure",,5,,0,,"False","","",""
9482,"HPWAND","1","Harry Potter","General","2011","Wand",,,,3.99,,"False","","",""
9475,"HQSR","1","Promotional","Book / Comic","2012","Heroica: Quest For The Secret Relics",,,,0,,"False","","",""
9460,"icecream","1","Friends","Promotional","2012","Ice Cream Stand",,14,0,0,,"True","icecream-1","",""
9586,"Indianapolis","1","Promotional","LEGO Store Grand Opening Set","2011","Castleton Square, Indianapolis, Exclusive Minifigure pack",3,15,,0,,"False","","",""
5680,"K2226","1","Gear","Bedding","2005","CLIKITS Bedcovers Set",,,26.99,,,"True","K2226-1","",""
5679,"K2326","1","Gear","Bedding","2006","Bedcover LEGO Classic",,,,,,"True","k2326-1","",""
5676,"K2356","1","Gear","Bedding","2006","Bedcover Toa Hordika ",,,26.99,,,"True","k2356-1","",""
5675,"K2357","1","Gear","Bedding","2006","Bedcover Toa Hordika",,,26.99,,,"True","k2357-1","",""
5972,"K4548","1","Trains","9 V","2007","Train Accessory Collection",,32,,96.97,,"True","k4548-1","",""
4694,"K7503","1","Gear","Stationery","2004","Eraser Set",,,,,,"True","K7503-1","",""
6081,"K7690","1","Space","Mars Mission","2007","Mars Mission Collection",,2401,,239.99,,"True","k7690-1","",""
6113,"K7699","1","Space","Mars Mission","2007","Complete Mars Mission Collection",,3039,228.93,314.99,,"True","k7699-1","",""
6879,"K810010","1","Gear","Bedding","2008","Duplo 3-Piece Bedding Set Green - Baby",,,27.88,,,"True","k810010-1","",""
6880,"K810012","1","Gear","Bedding","2008","Duplo 3-Piece Bedding Set Green - Junior",,,33.28,,,"True","k810012-1","",""
6881,"K810020","1","Gear","Bedding","2008","Duplo 3-Piece Bedding Set Pink - Baby",,,27.88,,,"True","k810020-1","",""
6882,"K810022","1","Gear","Bedding","2008","Duplo 3-Piece Bedding Set Pink - Junior",,,33.28,,,"True","k810022-1","",""
6178,"K851951","1","Gear","Housewares","2007","Classic Picnic Set",,,19.99,,,"True","k851951-1","",""
6177,"K851988","1","Gear","Miscellaneous","2007","DUPLO Height Chart with Zoo Sticker Set",,,7.98,,,"True","k851988-1","",""
9506,"K8761","1","Bionicle","Product Collection","2005","The Shadowed One ",,235,,,,"False","","",""
5969,"KB058","1","Gear","Bionicle","2007","Bionicle Legends Gift Set #2",,,,12.99,,"True","kb058-1","",""
5738,"KB608","1","Gear","Bionicle","2006","Bionicle Legends Gift Set",,,,,,"True","kb608-1","",""
6316,"KC201","1","Gear","Key Chains/Star Wars","2007","Boba Fett Keyring",,,,3.99,,"True","kc201-1","",""
6693,"KC28","1","Gear","Key Chains/Star Wars","2002","C-3PO Key Chain",,,,,,"True","KC28-1","",""
